epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,1.0,0.00015405028534587473,,
0,99,1.0,0.00015072913083713502,,
0,149,1.0,0.0004896124009974301,,
0,199,1.0,0.0013516427716240287,,
0,202,,,1.0,0.0006520705064758658
1,249,1.0,1.8924107280327007e-05,,
1,299,1.0,6.408547051250935e-05,,
1,349,1.0,0.00011743100913008675,,
1,399,1.0,4.770492887473665e-05,,
1,405,,,1.0,0.0001569361484143883
2,449,1.0,1.886279642349109e-05,,
2,499,1.0,8.15411694929935e-05,,
2,549,1.0,1.4557954273186624e-05,,
2,599,1.0,3.866830411425326e-06,,
2,608,,,1.0,3.5214205126976594e-05
3,649,1.0,3.102153277723119e-05,,
3,699,1.0,5.230771057540551e-05,,
3,749,1.0,1.0102291525981855e-05,,
3,799,1.0,3.6358496799948625e-06,,
3,811,,,1.0,4.8455614887643605e-05
4,849,1.0,5.31221303390339e-06,,
4,899,1.0,1.5547830116702244e-05,,
4,949,1.0,9.38770426728297e-07,,
4,999,1.0,6.356714584399015e-05,,
4,1014,,,1.0,2.520881753298454e-05
5,1049,1.0,5.080691698822193e-05,,
5,1099,1.0,5.1929532673966605e-06,,
5,1149,1.0,3.5687864965439076e-06,,
5,1199,1.0,4.544850185084215e-07,,
5,1217,,,1.0,3.025432124559302e-05
6,1249,1.0,2.0041861716890708e-06,,
6,1299,1.0,1.1249405361013487e-05,,
6,1349,1.0,4.17225646742736e-06,,
6,1399,1.0,1.370892732666107e-06,,
6,1420,,,1.0,8.758559488342144e-06
7,1449,1.0,4.395836299408984e-07,,
7,1499,1.0,2.2128010641608853e-06,,
7,1549,1.0,3.94875678466633e-06,,
7,1599,1.0,1.6689162976035732e-06,,
7,1623,,,1.0,2.5592071324354038e-05
8,1649,1.0,1.0132719125977019e-06,,
8,1699,1.0,7.450566954503302e-07,,
8,1749,1.0,4.4703406842927507e-07,,
8,1799,1.0,4.097814212400408e-07,,
8,1826,,,1.0,9.493204743193928e-06
9,1849,1.0,1.6167625744856196e-06,,
9,1899,1.0,1.1175869474300271e-07,,
9,1949,1.0,2.2798437839810504e-06,,
9,1999,1.0,8.046612265388831e-07,,
9,2029,,,1.0,5.694550964108203e-06
10,2049,1.0,4.134984010306653e-06,,
10,2099,1.0,1.3411039390121005e-07,,
10,2149,1.0,2.913144726335304e-06,,
10,2199,1.0,1.6391268786719593e-07,,
10,2232,,,1.0,2.5092263058468234e-06
11,2249,1.0,3.948798621422611e-07,,
11,2299,1.0,7.450579886381092e-08,,
11,2349,1.0,1.0430809993522416e-07,,
11,2399,1.0,5.066384574092808e-07,,
11,2435,,,1.0,1.252329752787773e-06
12,2449,1.0,6.407470323210873e-07,,
12,2499,1.0,1.6689173207851127e-06,,
12,2549,1.0,9.685753354915505e-08,,
12,2599,1.0,4.69386236545688e-07,,
12,2638,,,1.0,7.307043233595323e-06
13,2649,1.0,1.5646206463770795e-07,,
13,2699,1.0,7.748558346065693e-07,,
13,2749,1.0,8.568122780161502e-07,,
13,2799,1.0,1.9371492498976295e-07,,
13,2841,,,1.0,1.6698795661795884e-05
14,2849,1.0,3.6507788081507897e-07,,
14,2899,1.0,8.19563723553074e-08,,
14,2949,1.0,9.685750512744562e-08,,
14,2999,1.0,8.940695295223122e-08,,
14,3044,,,1.0,0.00013699413102585822
